,description,link
91,"In the Bukken Bruse disaster, a Det Norske Luftfartsselskap Short Sandringham flying boat, crashes upon landing in Trondheim, Norway; 19 are killed; Bertrand Russell is among the 24 survivors.",/wiki/Bukken_Bruse_disaster
92,"In the 1948 KLM Constellation air disaster, a Lockheed Constellation named Nijmegen crashes near Prestwick, Scotland, killing 40.",/wiki/1948_KLM_Constellation_air_disaster
93,"In the 1948 Airborne Transport DC-3 (DST) disappearance, a Douglas DC-3 disappears without a trace off the coast of Florida with 32 on board.",/wiki/1948_Airborne_Transport_DC-3_(DST)_disappearance
94,"In the BSAA Star Ariel disappearance, a British South American Airways Avro Tudor IV disappears without a trace en route from Bermuda to Jamaica with 20 on board. The loss of the aircraft, along with the 1948 BSAA Star Tiger disappearance remain unsolved to this day, with the resulting speculation helping to develop the Bermuda Triangle legend.",/wiki/BSAA_Star_Ariel_disappearance
95,"A British European Airways Douglas Dakota collides with a RAF Avro Anson over Exhall, Warwickshire, killing all 14 on board both aircraft.",/wiki/1949_Exhall_mid-air_collision
96,"A Queensland Airlines Lockheed Lodestar crashes on takeoff from Coolangatta airstrip, killing all 21 on board.",/wiki/1949_Queensland_Airlines_Lockheed_Lodestar_crash
97,"In the Superga air disaster, an Italian Airlines Fiat G.212 CP carrying the Torino football team crashes into the Superga hills near Turin, killing all 31 on board.",/wiki/Superga_air_disaster
98,"In the 1949 Strato-Freight Curtiss C-46A crash, a Curtiss Wright C-46A-50 Modified D, crashes into the Atlantic Ocean shortly after takeoff from San Juan, Puerto Rico. Of the 81 passengers and crew on board, 53 are killed.",/wiki/1949_Strato-Freight_Curtiss_C-46A_crash
99,"A MacRobertson Miller Airlines Douglas DC-3 crashes on takeoff from Perth, Western Australia, killing all 18 on board.",/wiki/1949_MacRobertson_Miller_Aviation_DC-3_crash
100,"Standard Air Lines Flight 897R, a Curtiss C-46, crashes at Chatsworth, California, due to pilot error, killing 35 of 48 on board.",/wiki/Standard_Air_Lines_Flight_897R
101,"A British European Airways Douglas DC-3 crashes into a hillside near Oldham, United Kingdom; of the 32 on board, only 8 survive.",/wiki/1949_Manchester_DC-3_accident
102,"Canadian Pacific Air Lines Flight 108, a Douglas DC-3, explodes over Cap Tourmente near Sault-au-Cochon, Quebec, due to a bomb planted by Albert Guay; all four crew members and 19 passengers on board are killed.",/wiki/Albert_Guay
103,"An Air France Lockheed Constellation crashes into a mountain on São Miguel Island, Azores, Portugal, killing all 48 people on board, including boxer Marcel Cerdan and violinist Ginette Neveu.",/wiki/1949_Air_France_Lockheed_Constellation_crash
104,"Eastern Air Lines Flight 537, a Douglas DC-4, on approach to Washington National Airport, suffers a mid-air collision with a Lockheed P-38; all 55 people on board the DC-4 die, including Congressman George J. Bates, New Yorker cartoonist Helen E. Hokinson, and former Congressman Michael J. Kennedy; the pilot and sole occupant of the P-38 is seriously injured.",/wiki/Eastern_Air_Lines_Flight_537
105,"In the Hurum air disaster, an Aero Holland Douglas DC-3 crashes near Hurum, Norway, killing 34 of the 35 on board, including 25 children.",/wiki/Hurum_air_disaster
106,"American Airlines Flight 157, a Douglas DC-6, en route from New York City to Mexico City with 46 passengers and crew, veers off the runway and strikes buildings after the flight crew loses control on final approach to Dallas Love Field; 26 passengers and 2 flight attendants die.",/wiki/American_Airlines_Flight_157
107,"In the 1950 Sverdlovsk air disaster, a Lisunov Li-2 crashes near Sverdlovsk (now Yekaterinburg), Russia, killing all 19 on board.",/wiki/1950_Sverdlovsk_air_disaster
108,"Northwest Orient Airlines Flight 307, a Martin 2-0-2, crashes near Minneapolis",/wiki/Northwest_Orient_Airlines_Flight_307
109,"The Llandow air disaster: An Airflight Avro 689 Tudor V stalls and crashes after the rear cargo hold was overloaded, resulting in a center of gravity exceeding the aft limit; 80 out of the 83 people on board die, at the time the worst air disaster in history.",/wiki/Llandow_air_disaster
110,"An Air France Douglas DC-4 (F-BBDE) on a flight from Saigon to Paris crashes in the Arabian Sea while on approach to Bahrain Airport, killing 46 of 52 on board.",/wiki/1950_Air_France_multiple_Douglas_DC-4_accidents
111,"An Air France Douglas DC-4, F-BBDM, crashes in the Arabian Sea while on approach to Bahrain Airport, killing 40 of 53 on board. This aircraft was operating on the same flight route as F-BBDE.",/wiki/1950_Air_France_multiple_Douglas_DC-4_accidents
112,"Northwest Orient Airlines Flight 2501, a Douglas DC-4, with 58 people on board, disappears without a trace over Lake Michigan.",/wiki/Northwest_Orient_Airlines_Flight_2501
113,"Australian National Airways Amana, a Douglas DC-4, crashes after takeoff from Perth Airport, killing all 29 people on board.",/wiki/1950_Australian_National_Airways_Douglas_DC-4_crash
114,"TWA Flight 903, a Lockheed L-749A Constellation, crashes because of an engine fire, in the desert about 65 miles (105 km) NNW of Cairo, Egypt; all 55 on board are killed in the worst ever accident involving the Lockheed L-749.",/wiki/TWA_Flight_903
115,"A British European Airways Vickers VC.1 Viking crashes on the runway at London Heathrow Airport in foggy weather; of the 30 on board, only a stewardess and a passenger survive.",/wiki/1950_Heathrow_BEA_Viking_accident
116,"Air India Flight 245, a Lockheed L-749A Constellation, crashes into Mont Blanc in France; all 40 passengers and 8 crew are killed. Sixteen years later, Air India Flight 101 crashes in almost exactly the same spot.",/wiki/Air_India_Flight_245
117,"In the 1950 Tête de l'Obiou C-54 crash, a Douglas C-54 Skymaster operated by Curtiss Reid Flying Services crashes 30 mi (48 km) from Grenoble, France, on the Tête de l'Obiou mountain; all 52 passengers and crew die.",/wiki/1950_T%C3%AAte_de_l%27Obiou_C-54_crash
118,"Cubana de Aviación Flight 493, a Douglas DC-4 en route from Miami to Havana, collides in mid-air with a United States Navy Beech SNB-1 Kansan off Key West; all 43 aboard both aircraft are killed.",/wiki/Cubana_de_Aviaci%C3%B3n_Flight_493
119,"Pan Am Flight 151, a Lockheed L-049 Constellation en route from Accra, Ghana (then the Gold Coast Territory) to Monrovia, Liberia, crashes into a hill near Sanoye in Bong County, Liberia, 54 miles (86 km) from the airport; all 31 passengers and 6 crew members die.",/wiki/Pan_Am_Flight_151
120,"United Airlines Flight 610, a Douglas DC-6, flies into a mountain in Larimer County, Colorado, due to a navigational error; all 45 passengers and 5 crew members are killed.",/wiki/United_Airlines_Flight_610
121,"A Canadian Pacific Air Lines Douglas DC-4 disappears on a flight from Vancouver, British Columbia, Canada, to Tokyo, Japan; all 37 on board are presumed dead; the aircraft has never been found.",/wiki/1951_Canadian_Pacific_Air_Lines_Douglas_DC-4_disappearance
122,"United Airlines Flight 615, a Douglas DC-6B, crashes near Decoto (now Union City, California), while on final approach to Oakland, California; all 44 passengers and 6 crew members die.",/wiki/United_Airlines_Flight_615
123,"A LOT Polish Airlines Lisunov Li-2 crashes near Tuszyn shortly after takeoff due to engine failure, killing all 16 passengers and crew on board.",/wiki/1951_LOT_Li-2_Tuszyn_air_disaster
124,"A Miami Airlines Curtiss C-46 Commando crashes at Elizabeth, New Jersey, after a loss of control following an engine fire, killing all 56 passengers and crew on board.",/wiki/1951_Miami_Airlines_C-46_crash
125,"A Misrair SNCASE Languedoc crashes west of Tehran, killing all 20 people on board.",/wiki/1951_Misrair_SNCASE_Languedoc_crash
126,"Continental Charters Flight 44-2, a Curtiss-Wright C-46, crashes into a ridge near Napoli, New York, while en route to Buffalo, New York; 3 crew members and 23 passengers die.",/wiki/Continental_Charters_Flight_44-2
127,"American Airlines Flight 6780, a Convair CV-240, crashes on approach to Newark, New Jersey, into dwellings in Elizabeth, New Jersey, killing 30 and leading to the Doolittle Commission recommendation for laws coordinating urban zoning to keep airport approach paths clear.",/wiki/American_Airlines_Flight_6780
128,"National Airlines Flight 101, a Douglas DC-6 crashed into an apartment building in Elizabeth, New Jersey two minutes after departing Newark Airport.",/wiki/National_Airlines_Flight_101
129,"An Air France SNCASE Languedoc crashes on takeoff from Nice, France, due to jammed controls. All 38 people on board are killed.",/wiki/1952_Air_France_SNCASE_Languedoc_crash
130,"Pan Am Flight 526A, a Douglas DC-4, suffers engine failure and is forced to ditch in the Atlantic 11 mi (18 km) north of San Juan, Puerto Rico; 52 of 69 on board die.",/wiki/Pan_Am_Flight_526A
131,"Pan Am Flight 202, a Boeing 377 Stratocruiser, crashes after a propeller failure in a remote area of Brazil on its way from Buenos Aires, Argentina, to New York City via Rio de Janeiro; all 50 on board are killed in the worst ever accident involving the Boeing 377.",/wiki/Pan_Am_Flight_202
132,"American Airlines Flight 910, a Douglas DC-6 carrying 55 passengers and 5 crew collides with a Temco Swift private plane on final approach to Dallas Love Field, killing both occupants of the Swift; the DC-6 lands safely with no injuries to the passengers or crew.",/wiki/American_Airlines_Flight_910
133,A Transportes Aéreos Nacional Douglas C-47A explodes in mid-air on a domestic flight in Brazil; all 24 on board die.,/wiki/1952_Transportes_A%C3%A9reos_Nacional_Douglas_C-47_mid-air_explosion
134,"A Cubana de Aviación Douglas DC-4 crashes into the Atlantic Ocean off Bermuda after failing to gain altitude after takeoff, killing 37 of 41 on board.",/wiki/1952_Bermuda_air_crash
135,"In the 1953 Nutts Corner Viking accident, a British European Airways Vickers Viking crashes on approach to Belfast-Nutts Corner Airport, killing 27 of the 31 on board.",/wiki/1953_Nutts_Corner_Viking_accident
136,"In the 1953 Skyways Avro York disappearance, a plane with 39 on board disappears over the North Atlantic.",/wiki/1953_Skyways_Avro_York_disappearance
137,"Transocean Air Lines Flight 512, a Douglas DC-6A, crashes in the Pacific Ocean while en route from Wake Island to Honolulu, Hawaii. All 58 passengers and crew are killed.",/wiki/Transocean_Air_Lines_Flight_512
